id,unit_id,barrage_id,boost_id,hit_check_order
1,1001,1,0,111111
2,1001,1,1,1212131311
3,1001,1,2,12121351351414
4,1001,1,3,1212135135146146
5,1001,2,0,1111
6,1001,2,1,121211
7,1001,2,2,1241241313
8,1001,2,3,12412413561356
9,1001,3,0,111111111111
10,1001,3,1,1212121213131314141411
11,1001,3,2,1212121213131314141451551
12,1001,3,3,121212121313131414145155166
13,1001,4,0,111111
14,1001,4,1,12121111
15,1001,4,2,12121313131
16,1001,4,3,1241241356135613561456
17,1001,7,0,111111111111111111
18,1001,7,1,1212121212131313131311111111
19,1001,7,2,121212121213131313131414141414111
20,1001,7,3,1212121212131313131314145145146146156156156
